English,Hindi
Precessing ellipse,पुरस्सारी दीर्घवृत्त
Precession,"अयन, पुरस्सरण"
Precession constant,अयन स्थिरांक
Precession photography,पुरस्सरण फ़ोटोग्राफी
Precessional angle,पुरस्सरण कोण
Precessional motion,पुरस्सरण गति
Precipitation attenuation,अवक्षेपण क्षीणन
Precise,"प्रतथ, परिशुद्ध"
Precision,"परिशुद्धता, परिशुद्धि"
Precision analyser,परिशुद्धता विश्लेषक
Precision approach radar,यथार्थता उपगमनदर्शी रैडार
Precision attained,उपलब्ध परिशुद्धता
Precision constant,सुतथ्य स्थिराक
Precision instrument,"यथार्थमापी यंत्र, प्रतथमापी साधित्र"
Precision network,यथार्थता जाल
Precision of a test,परीक्षण की परिशुद्धता
Precision parameter,परिशुद्धि पैरामीटर
Precision resistance,"परिशुद्ध प्रतिरोध, यथार्थिक प्रतिरोध"
Preconduction current,चलनपूर्व धारा
Precursor,"पूर्वगामी, पूर्ववर्ती"
Predetermined scale,"पूर्वनिर्धारित माप, पूर्वनिर्धारित मापनी"
Predetermined variable,पूर्वनिर्धारित चर
Predicted value,प्रागुप्त मान
Prediction,प्रागुक्ति
Predissociation,पूर्व वियोजन
Preece,प्रीस (मात्रक)
Preferentaial absorption,वरणात्मक अधिशोषण
Preferentail,वरणात्मक
Preferential combustion,वरणात्मक दहन
Preferential direction,वरणात्मक दिशा
Preferred,"वरीय, अधिमत"
Preferred axis,"तरजीही अक्ष, वरेण्य अक्ष"
Preformabillity,पूर्वोत्पादनीयता
Preformation,पूर्वोत्पादन
Pregnant nuclei,गर्भित नाभिक
Preheated,पूर्वतापित
Preheater,पूर्वतापक
Preheater stove,पूर्वतापी स्टोव
Preheating,पूर्वतापन
Preignition,पूर्व ज्वलन
Preionization,पूर्व आयनन
Preliminary,प्रारंभिक
Preliminary attenuation,प्रारंभिक क्षीणन
Preliminary count,प्रारंभिक गणना
Preliminary operation,प्रारंभिक प्रचालन
Preliminary wave,प्रारंभिक तरंग
Prelliminary adjustment,प्रारंभिक समायोजन
Prelliminary computation,प्रारंभिक अभिकलन
Prelliminary data,"प्रारंभिक आँकड़े, प्रारंभिक उपात्त"
Premature cut off,"अकाल अंतक, समयपूर्व अंतक"
Preplumbed system,पूर्वनियत तंत्र
Prequantum process,"क्वान्टमपूर्व प्रक्रम, प्राकक्वान्टम प्रक्रम"
Prercession method,पुरस्सरण विधि
Prerelativity physics,प्रागापेक्षिकीय भौतिकी
Presbyopia,जरा दूरदर्शिता
Preselector,पूर्वरक
Present guidance,पूर्वनिर्धारित निर्देशन
Presented target area,प्रस्तुत लक्ष्य क्षेत्र
Preset guidance,पूर्व निर्धारित निर्देश
Press button arrangement,बटन-दाब व्यवस्था
Press to talk operation,वार्तार्थ दाब प्रचालन
Pressure anomaly,दाब-असंगति
Pressure broadening,"दाब पृथुलन, दाब विस्तरण"
Pressure cable,दाब केबल
Pressure coefficient,दाब गुणांक
Pressure compounding,दाब संयोजन
Pressure defect,दाब न्यूनता
Pressure diffusion,दाबीय विसरण
Pressure diffusuon method,दाबीय विसरण विधि
Pressure distribution,"दाब का वितरण, दाब बंटन"
Pressure drag,दाब कर्षण
Pressure drag coefficient,दाब कर्षण गुणांक
Pressure drop,दाब ह्रास
Pressure effect,दाब प्रभाव
Pressure enthalpy chart,"दाब-एन्थैल्पी चार्ट, दाब पूर्णोष्म चार्ट"
Pressure equation,दाब समीकरण
Pressure feed system,दाब भरण-तंत्र
Pressure flow,दाब प्रवाह
Pressure flush,दाब-संप्रवाह
Pressure gauge,दाब गेज
Pressure gradient,दाब प्रवणता
Pressure gradient microphone,दाब प्रवणता माइक्रोफ़ोन
Pressure head,दाब शीर्ष
Pressure melting,दाब गलन
Pressure microphone,दाब माइक्रोफ़ोन
Pressure operated,दाब चालित
Pressure operation,"दाब संक्रिया, दाब प्रचालन"
Pressure patternflying,दाबानुरूप उड़ान
Pressure resistance,दाब प्रतिरोध
Pressure sensitivity,दाब सुग्राहिता
Pressure shift,दाबीय विस्थापन
Pressure spectrum level,दाब स्पेक्ट्रमी स्तर
Pressure suit,दाब कवच
Pressure suppression,दाब दमन
Pressure surface,दाब-पृष्ठ
Pressure switch,दाब स्विच
Pressure technique,"निपीड प्रविधि, निपीड तकनीक"
Pressure tendency,दाब प्रवृत्ति
Pressure tensor,दाब प्रदिश
Pressure thrust,दाब प्रणोद
Pressure tube,दाबसह नली
Pressure type capacitor,दाब प्ररूप संधारित्र
Pressure value,दाब मान
Pressure viscosity,दाब श्यानता
Pressure wave,दाब तरंग
Pressure-tube reactor,दाब-नलिका रिएक्टर
Pressurization,निपीडन
Pressurized water reactor,"दाबानुकूलित जल रिऐक्टर, दाबित जल रिऐक्टर"
Prestage,प्रागवस्था
Presumptive address (=base address),निर्देश पता
Preview monitor (=camera monitor),प्रस्तुतिपूर्व मानीटर
Prevost's theory,प्रेवो प्रमेय
Pricking sensation,वेधी संवेदन
Primacord,विस्फोटक रज्जु
Primary,"आद्य, प्राथमिक, प्रथम, मुख्य, प्रधान, मूल"
Primary axis,"प्राथमिक अक्ष, प्रधान अक्ष"
Primary bare area,प्राथमिक आनावृत क्षेत्र
Primary battery,प्राथमिक बैटरी
Primary cell,प्राथमिक सेल
Primary circuit,प्राथमिक परिपथ
Primary coil,प्राथमिक कुंडली
Primary colour,"प्राथमिक वर्ण, प्राथमिक रंग"
Primary cosmic rays,प्राथमिक अंतरिक्ष किरण
Primary creep,प्राथमिक विसर्पण
Primary current,प्राथमिक धारा
Primary data,"प्राथमिक आँकड़े, प्राथमिक दत्त"
Primary dust valve,प्राथमिक धूलि वाल्व
Primary excitation,प्राथमिक उत्तेजन
Primary extinction,प्राथमिक विलोप
Primary eye,प्राथमिक नेत्र
Primary fission yield,प्राथमिक विखंडन लब्धि
Primary focal length,प्राथमिक फ़ोकस दूरी
Primary fuel cell,मूल ईंधन सेल
Primary optic axis,मूल प्रकाशिक अक्ष
Primary particle,प्राथमिक कण
Primary pit field,प्राथमिक गर्त क्षेत्र
Primary planet,मूल ग्रह
Primary power cable,प्राथमिक शक्ति केबल
Primary radar,मूल रेडार
Primary radiation,प्राथमिक विकिरण
Primary rainbow,प्राथमिक इंद्रधनुष
Primary ray,प्राथमिक किरण
Primary reaction,मुख्य अभिक्रिया
Primary recrystallization,प्राथमिक पुनःक्रिस्टलन
Primary relay,प्राथमिक रिले
Primary scale,मूल स्केल
Primary scattering,प्राथमिक प्रकीर्णन
Primary skip zone,प्राथमिक लंघन क्षेत्र
Primary spectrum,प्राथमिक स्पेक्ट्रम
Primary standard,प्राथमिक मानक
Primary storage,मुख्य संचय
Primary stress,प्राथमिक प्रतिबल
Primary voltage,प्राथमिक वोल्टता
Primary wave,प्राथमिक तरंग
Primary winding,प्राथमिक कुंडलन
Primaryt bar,मुख्य पटलिका
Prime focus,प्रधान फोकस
Prime mover,मूल गति उत्पादक
Primer,"प्रारम्भक, प्राइमर"
Primitive basis,"अभाज्य आधारक, आदिम आधारक"
Primitive cell,"अभाज्य सेल, अभाज्य कोष्ठिका"
Primitive core,आद्य क्रोड
Primitive equation,पूर्वग समीकरण
Primitive lattice,"आद्य जालक, अभाज्य जालक"
Primitive period,आधारी आवर्तक
Primitive translation vector,अभाज्य स्थानांतरण वेक्टर
Primitive unit cell,"अभाज्य एकक सेल, अभाज्य एकक कोष्ठिका"
Principal,"मुख्य, प्रमुख, मूलधन"
Principal angle of incidence,मुख्य आपतन कोण
Principal axis,मुख्य अक्ष
Principal axis of dilation,प्रसार के मुख्य अक्ष
Principal axis of strain,मुख्य विकृति अक्ष
Principal axis of stress,मुख्य प्रतिबल अक्ष
Principal axis theorem,मुख्याक्ष प्रमेय
Principal azimuth,मुख्य दिगंश
Principal dielectric axis,मुख्य परावैद्युत अक्ष
Principal direction of strain,मुख्य विकृति दिशा
Principal direction of stress,मुख्य प्रतिबल दिशा
Principal dirrection,मुख्य दिशा
Principal E-plane,मुख्य E-समतल
Principal energy tensor,"मुख्य ऊर्जा प्रदिश, मुख्य ऊर्जा टेन्सर"
Principal focus,मुख्य फ़ोकस
Principal line,मुख्य रेखा
Principal maxima,मुख्य उच्चिष्ठ
Principal maximum,मुख्य महत्तम
Principal moment,मुख्य आघूर्ण
Principal point,मुख्य बिंदु
Principal quantum number,मुख्य क्वान्टम अंक
Principal ray,मुख्य किरण
Principal section,मुख्य परिच्छेद
Principal series,मुख्य श्रेणी
Principal strain,मुख्य विकृति
Principal strain ration,मुख्य विकृति अनुपात
Principal stress,मुख्य प्रतिबल
Principal stress-strain relation,मुख्य प्रतिबल-विकृति संबंध
Principal surface,मुख्य पृष्ठ
Principal valency,मुख्य संयोजकता
Principal value,मुख्य मान
Principal velocity,मुख्य वेग पृष्ठ
Principal visual ray,मुख्य दृश्य किरण
Principal wave,मुख्य तरंग
Principle,नियम
Principle of constancy,स्थिरता नियम
Principle of coveriance,सह-परिवर्तन नियम
Principle of daulity,द्वैत नियम
Principle of detailed balancing,विस्तृत संतुलन नियम
Principle of equipotentiality,समक्षमता सिद्धांत
Principle of equipresence,समोपस्थिति नियम
Principle of equivalence,तुल्यता नियम
Principle of least action,अल्पतम क्रिया नियम
Principle of Mach,माख सिद्धांत
Principle of reciprocity,पारस्परिकता नियम
Principle of reflection,परावर्तन नियम
Principle of scientific determinism,वैज्ञानिक निर्धार्यता नियम
Principle of similitude,सादृश्य का नियम
Principle of stationary action,स्तब्ध क्रिया नियम
Principle of stationary phase,स्तब्ध प्रावस्था नियम
Principle of superposition,अध्यारोपण नियम
Principle of virtual velocity,कल्पित वेग नियम
Principle of virtual work,कल्पित कार्य नियम
Print pulse,मुद्रण स्पंद
Print-out effect,प्रिंट आउट प्रभाव
Print-out type,प्रिंट आउट टाइप
Printed circuit,मुद्रित परिपथ
Printed matter,"मुद्रित सामग्री, मुद्रित विषय वस्तु"
Printing,"छपाई, मुद्रण"
Prism,प्रिज़्म
Prism action,प्रिज़्म क्रिया
Prism antenna,प्रिज़्म ऐन्टेना
Prism binocular,"प्रिज़्मी द्विनेत्री, प्रिज़्मी वाइनाकुलर"
Prism cap,प्रिज़्म छादन
Prism diopter,प्रिज्म डाइऑप्टर
Prism monochromators,प्रिज़्म एकवर्णित्र
Prism power,प्रिज़्म की क्षमता
Prism spectroscope,प्रिज़्मी स्पेक्ट्रमदर्शी
Prism square,प्रिज़्म गुनिया
Prismatic astrolabe,प्रिज़्म एस्ट्रोलेब (यन्त्र)
Prismatic bars,प्रिज़्मीय दंड
Prismatic binoculars,प्रिज़्मीय द्विनेत्री
Prismatic error,पिज्मी त्रुटि
Prismatic eyepiece,प्रिज़्मीय नेत्रिका
Prismatic glide,प्रिज़्मीय सर्पण
Prismatic initial,प्रिज़्मीय आरंभक
Prismatic spectrum,प्रिज़्मीय स्पेक्ट्रम
Prismatic system,प्रिज़्मी तंत्र
Private line,निजी लाइन
Privilege instruction,विशेषाधिकार अनुदेश
Probabilistic,प्रायिकतात्मक
Probability amplitude,प्रायिकता आयाम
Probability current density,प्रायिकता धारा घनत्व
Probe,"परीक्षित्र, अन्वेषी शलाका"
Probe coil,"एषण कुंडली, खोज कुंजली"
Probe microphone,अन्वेषी माइक्रोफोन
Probe tube,"एपण नली, खोज नली"
Probe unit,खोज एकक
Procedure,"प्रक्रिया, कार्य-विधि"
Procedure oriented language,प्रक्रियामूलक भाषा
Process,"प्रक्रम, प्रवर्ध"
Process camera,संसाधन कैमरा
Process heat reactor,संसाधन ऊष्मा रिएक्टर
Processabililty,प्रक्रमणीयता
Processed data,संसाधित उपात
Processed film,संसाधित फिल्म
Processing,"प्रक्रमण, संसाधन"
Processing error,प्रक्रमण-त्रुटि
Processor,संसाधित्र
Product,"उत्पाद, गुणनफल"
Product bundle,गुणनफल पूल
Product connection,गुणनफल संबंधन
Product modulator,गुणनफल माडुलक
Product nucleus,उत्पादित नाभिक
Product quantum yield,उत्पाद क्वांटम लब्धि
Production operation,उत्पादन संक्रिया
Production process,उत्पादन प्रक्रम
Production rate,उत्पादन-दर
Production reactor,उत्पादक रिऐक्टर
Productive energy,उत्पादक ऊर्जा
Productive equipment,उत्पादक उपस्कर
Productive process,उत्पाद प्रक्रम
Productiveness,उत्पादन क्षमता
Productivity,उत्पादकता
Profile chart,प्रोफाइल चार्ट
Profile drag,"प्रोफाइल कर्षण, परिच्छेदिका कर्षण"
Profile of powderline,"चूर्णीय, रेखाकृति"
Programme,"प्रोग्राम, कार्यक्रम, क्रमादेश"
Programme address counter,क्रमदेश पता गणित्र
Programme beat-beat,क्रमादेश वि-विस्पंद
Programme counter (=counter register),क्रमादेश गणित्र
Programme generator,क्रमादेश जनक
Programme meter,क्रमादेश मापी
Programme network,क्रमादेश जालक्रम
Programme step,क्रमादेश चरण
Programme switch,क्रमादेश स्विच
Programme testing time,क्रमादेश परीक्षण काल
Programmed check,क्रमादेशित जाँच
Programmer,क्रमादेशक
Programming,"प्रक्रमन, प्रोग्रामन, क्रमादेशन"
Progression (of configuration),(विन्यास का) अनुक्रम
Progression of progressions,श्रेढ़ियों की श्रेढ़ी
Progressive change,"प्रगामी परिवर्तन, पुरोगामी परिवर्तन"
Progressive scannig (=sequential scanning),"अनुक्रमिक क्रमवीक्षण, उत्तरोतर क्रमवीक्षण"
Progressive wave antenna,प्रगामी तरंग ऐन्टेना
Progrressive burning,दाबवर्धी ज्वलन
Progrressive wave,प्रगामी तरंग
Prohibited zones,निषिद्ध ज़ोन
Prohibition,निषेध
Prohibitive hindrance,निषेधक बाधा
Proinulase,प्रोइनुलेस
Projected sunlight,प्रक्षिप्त सौरप्रकाश
Projecting,"प्रक्षेपी, बहिर्विष्ट"
Projecting lantern,"चित्रदर्शी लालटेन, चित्रक्षेपी लालटेन"
Projecting microscope,प्रक्षेपी सूक्ष्मदर्शी
Projecting mouth,प्रक्षेपी मुख
Projection chamber,प्रक्षेप कक्ष
Projection microradiography,प्रक्षेप सूक्ष्मविकिरणी चित्रण
Projection of electron density,इलेक्ट्रॉन घनत्व प्रक्षेपण
Projection optics,"प्रक्षेप प्रकाशिकी, प्रक्षेप प्रकाशिकीय व्यवस्था"
Projection printer,प्रोजेक्शन प्रिन्टर
Projection spark chamber,प्रक्षेप स्पुलिंग कक्ष
Projection television,प्रक्षेपण टेलीविजन
Projection tube,प्रक्षेपण नलिका
Projector,प्रक्षेपित्र
Prolate crystal,दीर्घाक्ष क्रिस्टल
Promethium cell,प्रोमिथियम सेल
Promicrophone,अन्वेषी माइक्रोफ़ोन
Promoted electrons,प्रोन्नत इलेक्ट्रॉन
Promoted mixing,वर्धित मिश्रण
Prompt neutron,तात्कालिक न्यूट्रॉन
Prong (of tuning fork),भुजा
Prongs,एककेन्द्री लीक
Pronounced hump,प्रमुख ककुद
Proof resillience,प्रमाणक प्रतिस्थितित्व
Proof stress,प्रमाणक प्रतिबल
Propagated error,संचारित त्रुटि
Propagation,"संचरण, प्रवर्धन, प्रचारण"
Propagation anomalies,संचरण असंगतियाँ
Propagation constant,"संचरणांक, संचरण नियतांक"
Propagation number,संरचरण-संख्या
Propagation of error,त्रुटि संचरण
Propagation of light,प्रकाश-संचरण
Propagation of sound,ध्वनि संचरण
Propagation reaction,संचरण अभिक्रिया
Propagation vector,संचरण सदिश
Propagation velocity,संचरण वेग
Propane bubble chamber,प्रोपेन बुद्बुद् कोष्ठ
Propellant erosion,नोदक अपघर्षण
Propellant explosive,नोदक विस्फोटक
Propellant mass,नोदक द्रव्यमान
Propellant mass flow,नोदक द्रव्य प्रवाह
Propellant mass ration,नोदक द्रव्य अनुपात
Propeller,नोदक
Propeller cavitation,नोदक गुहिकायन
Propeller disc,नोदक मंडलक
Propeller efficiency,नोदक दक्षता
Propelling stroke,नोदक आघात
Proper charge density,उचित आवेश घनत्व
Proper double refraction,उचित द्विअपवर्तन
Proper energy,उचित ऊर्जा
Proper entropy,उचित ऐन्ट्रॉपी
Proper fuze function,उचित फ़्युज़ फलन
Proper macroscopic density,उचित स्थूल घनत्व
Proper material density,उचित द्रव्यात्मक घनत्व
Proper value (=eigen value),"उचित मान, आइगन मान"
Proper vector,उचित सदिश
Proper volume,उचित आयतन
Properties of matter,द्रव्य का गुणधर्म
Property,"गुण, गुणधर्म"
Property of conservation,संरक्षण गुणधर्म
Proportion,"समानुपात, अनुपात, भाग"
Proportional,"समानुपातिक, आनुपातिक"
Proportional band,आनुपातिक बैंड
Proportional counter,अनुपातिक गणित्र
Proportional elastic limit,आनुपातिक प्रत्यास्थ सीमा
Proportioning reactor,अनुपातक रिऐक्टर
Propulsion,नोदन
Propulsion reractor,नोदन रिऐक्टर
Propulsion spectrum,नोदन स्पेक्ट्रम
Propulsion system,नोदन निकाय
Propulsion vesicle,नोदन आशय
Propulsive force,नोदक बल
Prosign,परख चिह्न
Prospecting,पूर्वेक्षण
Prospecting gravimeter,पूर्वेक्षण गुरूत्वमापी
Prospector,पूर्वेक्षक
Protection survey,सुरक्षा सर्वेक्षण
Protective clothing,रक्षी परिधान
Protective coating,रक्षी आलेप
Protective device,रक्षी युक्ति
Protective grounding,रक्षी भूसंपर्कन
Protective resemblance,संरक्षी साम्य
Protector block,रक्षक अवरोध
Protector gap,रक्षक अंतराल
Protector tube,रक्षक नलिका
Protectoscope,रक्षकदर्शी
Proto donor,प्रोटॉन दाता
Protoactinide,प्रोटोएक्टिनाइड
Protoactinium,प्रोटोऐक्टिनियम
Protogenic,"प्रोटॉन दाता, आद्यजनिक"
Proton,प्रोटॉन
Proton acceptor,प्रोटॉन ग्राही
Proton capture,प्रोटॉन प्रग्रहण
Proton disintegration,प्रोटॉन विघटन
Proton linear accelerator,प्रोटॉन रैखिक त्वरित्र
Proton magnetometer,प्रोटॉन चुंबकत्वमीपी
Proton microscope,प्रोटॉन सूक्ष्मदर्शी
Proton moment,प्रोटॉन आघूर्ण
Proton neutron exchange,प्रोटॉन न्यूट्रॉन विनिमय
Proton range,प्रोटॉन परास
Proton recoil detector,प्रोटॉन प्रतिक्षेप संसूचक
Proton resonance,प्रोटॉन अनुनाद
Proton resonance technique,प्रोटॉन अनुनादी तकनीक
Proton richer,अधिक प्रोटॉनी
Proton rrecoil proportional counter,प्रोटॉन प्रतिक्षेप अनुपाती गणित्र
Proton scattering,प्रोटॉन प्रकीर्णन
Proton storage ring,प्रोटॉन संचयन वलय
Proton synchrotron,प्रोटॉन सिंक्रोट्रॉन
Proton threshold,प्रोटॉनी देहली
Proton-proton reaction,प्रोटॉन-प्रोटॉन प्रतिक्रिया
Proton-proton well,प्रोटॉन-प्रोटॉन कूप
Protonium,प्रोटोनियम
Prototype Instrument,आदिप्ररूप उपकरण
Prototype model,आदिप्ररूप निदर्श
Protraction,कालव्याक्षेप
Protrective relay,रक्षी रिले
Proximity axiom,सामीप्य अभिगृहीत
Proximity detector,सामीप्य संसूचक
Proximity dimension,सामीप्य विमा
Proximity effect,"सामीप्य प्रभाव, सान्निध्य प्रभाव"
Proximity meter,सामीप्य मापी
Proximity theorem,सामीप्य प्रमेय
Prrecessional velocity,पुरस्सरण वेग
Prrecision levelling,सुतथ्य तलेक्षण
Prreliminary design,प्रारंभिक डिजायन
Prresentation,प्रस्तुतीकरण
Pseudo scalar,"छद्म स्केलर, छद्म अदिश"
Pseudo tensor,छद्म प्रदिश
Pseudo-gravitational field,गुरूत्वकल्प क्षेत्र
Pseudo-molecule,छद्म अणु
Pseudo-vector,"छद्म वेक्टर, छद्म सदिश"
Pseudo-vector coupling,छद्म सदिश युग्मन
Pseudoadiabat,छद्म एडियाबेट
Pseudocode,छद्म कूट
Pseudocrystal,छद्मक्रिस्टल
Pseudocrystalline,छद्मक्रिस्टली
Pseudoform,"छद्म रूप, आभासी रूप"
Pseudohexagonal cell,छद्म षट्कोणीय कोष्ठिका
Pseudoprogram,छद्म क्रमादेश
Pseudoscalar coupling,छद्म अदिश युग्मन
Pseudoscalar field,छद्म अदिश क्षेत्र
Pseudoscalar meson,छद्म-अदिश मेसॉन
Pseudoscalar particle (=pseduoscalar meson),छद्म-अदिश कण
Pseudoscope,"विपरीत दर्शी, स्यूडोस्कोप"
Pseudoscopic switch,"स्यूडोस्कोपी स्विच, विपरीत दर्शी स्विच"
Pseudovector field,छद्म सदिश क्षेत्र
Pseudovector meson,छद्म-सदिश मेसॉन
Psi (Ψ) function,"साइ फलन (Ψ) फलन, साई फंक्शन, (Ψ) फंक्शन"
Psychromatic,साइक्रोमैटिक
Psychromatic ratio,साइक्रोमैटिक अनुपात
Psychrometric voltage,साइक्रोमीट्रिक वोल्टता
Publilc address system,ध्वनि प्रवर्धक यंत्रावली
Puff,"फूत्कार, फुलबड़ी"
Puff of momentum,संवेग का झोंका
Puire rotational spectrum,शुद्ध घूर्णन स्पेक्ट्रम
Pulfrich refractometer,"पुलफ्रिच अपवर्तनांकमापी, फिलफ्रिच रिफ्रैक्टोमीटर"
Pull,"अभिकर्ष, अभिकर्षण, अपकर्ष, छाप, पुल"
Pull method,अभिकर्षण विधि
Pull strength,अभिकर्ष सामर्थ्य
Pulley,"पुली, घिरनी, कप्पी"
Pulling,"चित्रांश विस्तारण, तुल्यकालन क्षति, अभिकर्षण"
Pulsatance,स्पंदनत्व
Pulsating current,स्पंदमान धारा
Pulsating electromotive force,स्पंदमान विद्युत् वाहक बल
Pulsating load,स्पंदमान उद्भार
Pulsating membrane,स्पंदमान कला
Pulsating moment,स्पंदमान आघूर्ण
Pulsating sphere,स्पंदमान गोला
Pulsating virtual cathode,स्पंदमान आभासी कैथोड
Pulsation,स्पंदनत्व
Pulsatory,स्पंदमान
Pulsatory oscillation,स्पंदी दोलन
Pulse,"दाल, स्पंद"
Pulse amplifier,स्पंद प्रवर्धक
Pulse amplitude modulation,स्पंद आयाम माडुलन
Pulse circuit,स्पंद परिपथ
Pulse code,स्पंद कोड
Pulse code modulation (PCM),स्पंद कोड मॉडुलन (पी. सी. एम.)
Pulse coder,स्पंद कोडक
Pulse coding,स्पंद कोडन
Pulse corrector,स्पंद संशोधक
Pulse decay time,स्पंद क्षय काल
Pulse decoder,स्पंद विकोडित्र
Pulse Doppler,स्पंद डॉप्लर (तंत्र)
Pulse droop,स्पंद शीर्षनमन
Pulse duration,स्पंद अवधि
Pulse duration ratio,स्पंद अवधि अनुपात
Pulse duty factor (=pulse duration ratio),स्पंद अवधि अनुपात
Pulse E.H.T. generator,स्पंद E.H.T. जनित्र
Pulse former,स्पंद आकृति रचक
Pulse forming line,स्पंद जनक लाइन
Pulse forming network,स्पंद जनक जाल
Pulse frequency,स्पंद पुनरावर्तन दर
Pulse frrequency modulation,स्पंद आवृत्ति माडुलन
Pulse generator,स्पंद जनित्र
Pulse height analyser,स्पंद उच्चता विश्लेषित्र
Pulse height discrimination,स्पंद ऊंचाई विविक्तीकरण
Pulse height discriminator,स्पंद उच्चता विवेचक
Pulse height setting,स्पंद उच्चता समंजन
Pulse interval,स्पंद अन्तराल
Pulse ionization chamber,स्पंद आयन कोष्ठ
Pulse jet,स्पंद जेट
Pulse jitter,स्पंद जिटर
Pulse limiting rate,स्पंद सीमक दर
Pulse mixing,स्पंद मिश्रण
Pulse mode,स्पंद विधा
Pulse moder,"स्पंद मोडित्र, स्पंद विधायक"
Pulse modulation,स्पंदी मॉडुलन
Pulse modulator radar,स्पंद मॉडुलक रेडार
Pulse multiplex,स्पंद बहुसंकेतन
Pulse packet,स्पंद पैकेट
Pulse peak modulation,स्पंद शिखर मॉडुलन
Pulse pile up,स्पंद अतिव्यापन
Pulse position modulation,स्पंद स्थिति मॉडुलन
Pulse radar,स्पंद रेडार
Pulse rate,"नाड़ी दर, स्पंद दर"
Pulse recurrence frequency,स्पंद पुनरावर्तन दर
Pulse repetition rate,स्पंद पुनरावर्तन दर
Pulse resolution,स्पंद विभेदन
Pulse rise time,स्पंद उत्कर्ष काल
Pulse selector,स्पंद वरक
Pulse shape,"स्पंद आकार, स्पंद रूप"
Pulse shaper,स्पंद रूपक
Pulse spacing,स्पंद अंतराल
Pulse spectrum,स्पंद स्पेक्ट्रम
Pulse spike,स्पंद शूल
Pulse stretcher,स्पंद विस्तारक
Pulse stretching,स्पंद विस्तारण
Pulse switch,स्पंद स्विच
Pulse system,स्पंद तंत्र
Pulse tail,स्पंद पुच्छ
Pulse theory,स्पंद सिद्धांत
Pulse tilt,स्पंद नति
Pulse time modulation,स्पंद समय मॉडुलन
Pulse time ratio,स्पंद अवधि अनुपात
Pulse train,स्पंदावली
Pulse transformer,स्पंद परिणामित्र
Pulse voltage,स्पंद वोल्टता
Pulse width,स्पंद विस्तार
Pulse width modulation,स्पंद कालावधि मॉडुलन
Pulsed accelerator,स्पंदित त्वरित्र
Pulsed altimeter,स्पंददायी तुंगतामापी
Pulsed glide path,स्पंदित विसर्पण पथ
Pulsed laser,स्पंदित लेसर
Pulsed light,स्पंदित प्रकाश
Pulsed magnetron,स्पंदित मैग्नेट्रोन
Pulsed operation,स्पंदित प्रचालन
Pulsed oscillating field,स्पंदित दोलायमान क्षेत्र
Pulsed oscillator,स्पंदित दोलित्र
Pulsed reactor,स्पंदित रिऐक्टर
Pulser,स्पंदक
Pulsing circuit,स्पंदन परिपथ
Pulsing system,स्पंदन तंत्र
Pulsion stroke,स्पंदन आघात
Pump,पंप
Pump cylinder,पंप सिलिंडर
Pump dirve assembly,पंप चालक समुच्चय
Pumpabililty,पंपनीयता
Pumped storage,"पंप जलसंग्रह, पंप स्टोरेज"
Pumping,पंपनीयता
Pumping action,पंपन कार्य
Pumping activity,पंपन कार्य
Pumping frequency,पंपक आवृत्ति
Pumping radiation,पंपन विकिरण
Pumpmotor,पंप मोटर
Punch,"पंचित्र, छिद्रित्र, पंच (एक पेय)"
Punch card,छिद्रित कार्ड
Punch stop key,छिद्रक रोक कुंजिका
Punch stripper,निर्लेपक छिद्रित्र
Punch through voltage (=penetration voltage),वेध वोल्टला
Punched card,"छिद्रित पत्रक, छिद्रित कार्ड"
Punched card calculator,छिद्रित पत्रक परिकलित्र
Punched card maching,छिद्रित पत्रक यंत्र
Punched card records,छिद्रित कार्ड अभिलेख
Punching,छिद्रण
Punching machine,छिद्रण मशीन
Punching position,छिद्रण स्थिति
Punching stock,छिद्रणीय संभार
Puncture,"संवेधन, पंचर"
Puncture voltage,पंक्चर वोल्टता
Pup,पप
Pupil,"तारा, पुतली, कनीनिका"
Pupin coil,प्यूपीन कुंडली
Pure bending,शुद्ध बंकन
Pure deformation,शुद्ध विरूपण
Pure element,शुद्ध तत्व
Pure equation,शुद्ध समीकरण
Pure field theory,शुद्ध क्षेत्र सिद्धान्त
Pure music,शुद्ध संगीत
Pure radial vibration,शुद्ध त्रिज्य कंपन
Pure reactane,शुद्ध प्रतिघात
Pure relaxation,शुद्ध विश्रांति
Pure rotation band,शुद्ध घूर्णन बैन्ड
Pure scattering,शुद्ध प्रकीर्णन
Pure shear,शुद्ध अपरूपण
Pure spectrum,शुद्ध स्पेक्ट्रम
Pure state,शुद्ध अवस्था
Pure strain,शुद्धि विकृति
Pure tone,"शुद्ध टोन, शुद्ध स्वरक"
Pure torsion,शुद्ध व्यावर्तन
Pure vibrational level,शुद्ध कंपन स्तर
Pure viscoplastic relaxation,शुद्ध श्यानसुघटय विश्रांति
Purely atomic measure,शुद्ध परमाण्विक माप
Purity,शुद्धता
Purple,"नील लोहित, बैंगनी, पर्पल"
Purple boundary,पर्पल सीमा
Purple light,नील लोहित प्रकाश
Purre resistance,शुद्ध प्रतिरोध
Purre substance,शुद्ध पदार्थ
Pursuing course indication,अनुसरण पथ सूचन
Push button,"दाब बटन, पुश बटन"
Push pull,कर्षापकर्ष
Push pull excitation,कर्षापकर्ष उत्तेजन
Push pull mechanism,कर्षापकर्षी क्रिया विधि
Push pull voltage (=balanced voltage),संतुलित वोल्टता
